artist_id,artist_id_youtube,artist_name,youtube_follower_cnt,youtube_total_views,youtube_video_cnt
0,,250,,,
1,UCsilEpR2UHgFa-JV_q6CFHQ,갤럭시익스프레스,1740.0,653699.0,54.0
2,UC0j1cP2C30YFiI9OnjfCwIw,검엑스,826.0,73056.0,65.0
3,UCMywBcgtpid_7bWQP-pEn2w,검정치마,117000.0,10287328.0,12.0
4,UC2uyDkfZOB1fcKSZ75LEMFg,구남과여라이딩스텔라,2310.0,336551.0,29.0
5,UC5KDvE51c8EqBK8G3Lv-7-g,권진아,162000.0,8948625.0,72.0
6,UCMbwvl6PdEqGmzUmGgKnuHg,극동아시아타이거즈,1940.0,129513.0,126.0
7,UCZsxMTnJzEjMBGhXVy23phg,글렌체크,40900.0,5923641.0,60.0
8,UCLXC5_z5ioxnWK1up9LS_Pg,김늑,436.0,39106.0,25.0
9,UCIUbXhcpDmWajKpB7rOZcmg,김뜻돌,64000.0,4203086.0,70.0
